Lead_ID,Lead_Date,Industry,State,Employee_Count,Lead_Source,Campaign_Type,Sales_Rep_Interactions,Previous_Interactions,Days_Since_Last_Interaction,Website_Visits,Pages_Viewed,Email_Opens,Email_Clicks,Content_Downloads,Demo_Attended,Estimated_Budget,Estimated_Deal_Value,Decision_Maker,Contact_Requests,Product_Page_Visits,Trial_Started,Converted,Conversion_Date
L003684,7/29/2026,Healthcare,Odisha,95,Google Ads,Enterprise Outreach,2,4,21,6,14,10,3,0,Yes,81000,60000,No,0,,No,0,
L009526,11/21/2025,Retail,Kerala,101,Referral,Enterprise Outreach,2,3,36,15,22,13,1,1,No,89000,75000,Yes,0,3,No,1,1/16/2026
L004328,4/17/2026,Manufacturing,Gujarat,109,LinkedIn,Content Marketing,1,2,50,21,59,8,2,4,No,85000,100000,No,1,14,No,0,
L004945,17-11-2024,IT Services,Madhya Pradesh,47,LinkedIn,Product Demo,5,14,,18,36,,4,2,Yes,64000,80000,Yes,1,11,Yes,0,
L004935,12/8/2025,Manufacturing,Gujarat,10,Google Ads,Webinar,1,4,24,4,5,7,1,0,No,51000,60000,No,0,1,No,0,
L001087,9/25/2025,Telecommunications,Maharashtra,69,Website,Product Demo,3,7,38,16,,8,1,4,No,70000,100000,No,0,5,No,0,
L007150,5/30/2024,Financial Services,Maharashtra,6,Referral,Content Marketing,5,6,26,-11,47,5,2,0,Yes,49000,40000,No,0,7,Yes,0,
L019249,5/22/2024,Healthcare,Odisha,48,LinkedIn,Content Marketing,1,4,32,4,10,9,2,0,No,64000,70000,No,0,2,No,0,
L010928,10/8/2025,Retail,Odisha,31,Webinar,Enterprise Outreach,6,8,28,28,55,8,1,4,No,55000,40000,Yes,1,15,No,0,
L017209,3/24/2026,Financial Services,Madhya Pradesh,78,Referral,Webinar,5,4,10,49,60,12,3,9,Yes,114000,,Yes,1,9,Yes,1,4/17/2026
L001817,10/13/2024,Financial Services,Rajasthan,42,LinkedIn,Product Demo,4,5,31,902,7,7,3,1,No,70000,75000,No,0,1,No,1,12/1/2024
L016680,7/13/2024,Retail,Odisha,11,LinkedIn,free trial,4,12,36,35,47,5,1,3,Yes,,40000,Yes,1,10,Yes,1,8/7/2024
L015858,12/18/2024,Financial Services,Karnataka,46,LinkedIn,Product Demo,4,8,14,25,57,13,4,6,Yes,90000,120000,No,0,5,Yes,1,1/4/2025
L002164,3/31/2026,Real Estate,Rajasthan,87,LinkedIn,Free Trial,9,22,6,60,119,9,1,,Yes,68000,105000,Yes,0,75,Yes,1,4/14/2026
L017428,12/15/2024,Telecommunications,Karnataka,49,partner,Content Marketing,3,6,25,19,25,10,4,3,Yes,67000,70000,Yes,0,8,No,0,
L018789,10/7/2025,IT Services,Gujarat,3,Email Campaign,free trial,2,8,42,8,22,4,1,1,Yes,46000,60000,Yes,0,2,No,0,
L009094,10/19/2025,Healthcare,Telangana,51,LinkedIn,Content Marketing,2,7,48,3,9,11,1,1,No,70000,80000,No,0,1,No,0,
L008422,3/10/2024,Financial Services,West Bengal,17,LinkedIn,Enterprise Outreach,10,16,7,60,128,139,2,10,Yes,26025804,65000,No,2,31,Yes,1,3/28/2024
L019452,9/18/2025,Financial Services,Gujarat,201,Google Ads,Free Trial,,8,15,28,62,9,2,7,Yes,149000,160000,Yes,0,17,No,0,
L010416,1/28/2025,Telecommunications,Madhya Pradesh,13,LinkedIn,Webinar,4,3,12,23,55,9,11,4,No,,,No,0,15,Yes,0,
L003913,4/6/2026,Telecommunications,Punjab,15,Website,Free Trial,0,1,39,2,12,8,1,0,No,53000,70000,No,0,1,No,0,
L014049,6/23/2024,Retail,Haryana,7,Google Ads,Content Marketing,1,2,40,15,24,5,1,2,No,47000,30000,No,0,2,Yes,0,
L002547,11/8/2024,Healthcare,Kerala,81,Website,Free Trial,0,3,32,19,46,10,1,4,No,84000,95000,No,0,7,Yes,1,1/9/2025
L005275,11/28/2025,Logistics,Gujarat,134,Email Campaign,Free Trial,3,6,43,16,29,8,2,,Yes,98000,145000,No,0,5,Yes,0,
L019733,12/10/2024,Professional Services,Rajasthan,29,Webinar,Free Trial,2,2,25,12,21,13,3,4,No,57000,65000,Yes,0,8,No,0,
L008759,5/3/2025,IT Services,Madhya Pradesh,110,Email Campaign,Free trial,3,10,46,10,29,7,,3,No,91000,80000,No,0,5,No,0,
L009063,11/14/2025,Retail,Telangana,18,Referral,Content Marketing,6,9,35,34,81,9,1,9,Yes,49000,65000,Yes,1,,No,1,12/25/2025
L012811,4/3/2024,Manufacturing,Rajasthan,5,LinkedIn,Content Marketing,3,5,,7,6,10,2,1,No,48000,70000,No,0,2,No,0,
L006736,4/24/2026,Education,West Bengal,376,Google Ads,Product Demo,3,2,18,24,31,,1,,Yes,117000,120000,No,2,10,No,1,5/27/2026
L013728,2/12/2025,Education,Odisha,444,Referral,Product Demo,8,8,7,60,140,9,2,9,Yes,164000,135000,Yes,1,29,Yes,1,2/26/2025
L007231,7/27/2026,Healthcare,Andhra Pradesh,123,Webinar,Free Trial,4,8,23,11,24,13,5,1,No,99000,125000,Yes,0,5,Yes,1,9/18/2026
L016869,10/15/2024,Healthcare,Telangana,23,LinkedIn,Product Demo,4,7,10,33,,9,40,7,Yes,56000,60000,Yes,1,13,Yes,1,18-Nov-24
L005710,7/13/2024,Education,Odisha,12,Google Ads,Free Trial,1,3,41,5,14,8,1,2,No,47000,50000,Yes,0,2,No,0,
L018115,10/22/2025,Logistics,Rajasthan,7,Referral,Content Marketing,5,8,40,15,43,9,2,5,No,48000,50000,No,0,2,No,0,
L010402,6/23/2026,Professional Services,Karnataka,29,LinkedIn,Webinar,3,7,40,10,17,8,2,2,Yes,64000,,No,0,6,No,0,
L009010,5/16/2025,Financial Services,Delhi,56,Webinar,Enterprise Outreach,1,7,44,7,13,10,2,2,Yes,84000,85000,Yes,0,2,No,0,
L000348,6/24/2024,Financial Services,Karnataka,26,LinkedIn,Product Demo,1,2,,20,35,9,3,2,Yes,57000,40000,Yes,0,3,No,0,
L003308,6/23/2026,Retail,Telangana,25,Google Ads,Webinar,5,9,21,12,35,6,1,2,No,54000,65000,No,0,,Yes,0,
L015451,3/4/2025,Financial Services,Karnataka,25,Website,Content Marketing,2,7,18,14,24,10,3,3,No,,55000,No,1,4,No,0,
L008553,1/30/2026,Logistics,Delhi,47,Website,Free Trial,3,6,27,25,63,10,,2,No,71000,110000,Yes,0,9,Yes,0,
L017804,11/16/2025,Professional Services,Uttar Pradesh,91,Webinar,Content Marketing,6,11,2,53,129,9,2,10,Yes,67000,100000,No,1,17,Yes,1,12/8/2025
L013323,5/11/2025,Logistics,Andhra Pradesh,93,Partner,Webinar,0,3,29,18,36,9,3,3,Yes,72000,,No,0,7,No,0,
