Lead_ID,Lead_Date,Industry,State,Employee_Count,Lead_Source,Campaign_Type,Sales_Rep_Interactions,Previous_Interactions,Days_Since_Last_Interaction,Website_Visits,Pages_Viewed,Email_Opens,Email_Clicks,Content_Downloads,Demo_Attended,Estimated_Budget,Estimated_Deal_Value,Decision_Maker,Contact_Requests,Product_Page_Visits,Trial_Started,Converted,Company_Size,Total_Interactions,Digital_Engagement_Score,Budget_per_Employee,Deal_to_Budget_Ratio
L000001,2024-03-27,Financial Services,Rajasthan,260.0,Website,Free Trial,4.0,6.0,26.0,7.0,10.0,13.0,3.0,1.0,No,161000.0,175000.0,Yes,0.0,,No,0,Large,10.0,8.0,619.2307692307693,1.0869565217391304
L000002,2026-01-23,Logistics,West Bengal,10.0,Google Ads,Free Trial,1.0,3.0,33.0,18.0,28.0,10.0,3.0,1.0,No,51000.0,35000.0,No,0.0,8.0,No,0,Small,4.0,13.600000000000001,5100.0,0.6862745098039216
L000003,2025-09-28,Financial Services,West Bengal,14.0,LinkedIn,Content Marketing,2.0,2.0,32.0,13.0,21.0,9.0,1.0,2.0,Yes,54000.0,65000.0,No,1.0,7.0,No,0,Small,4.0,10.500000000000002,3857.1428571428573,1.2037037037037037
L000005,2025-02-25,Healthcare,Kerala,6.0,Website,Enterprise Outreach,4.0,12.0,,8.0,20.0,8.0,3.0,2.0,No,47000.0,55000.0,No,0.0,,No,0,Small,16.0,10.749999999999998,7833.333333333333,1.1702127659574468
L000006,2026-04-15,Professional Services,Rajasthan,73.0,LinkedIn,Product Demo,5.0,6.0,20.0,38.0,78.0,8.0,,6.0,Yes,73000.0,115000.0,Yes,1.0,24.0,Yes,1,Medium,11.0,38.75,1000.0,1.5753424657534247
L000007,2024-03-24,Financial Services,Rajasthan,16.0,Google Ads,Free Trial,3.0,4.0,26.0,15.0,22.0,9.0,2.0,3.0,No,53000.0,45000.0,No,0.0,9.0,No,0,Small,7.0,13.799999999999999,3312.5,0.8490566037735849
L000008,2025-11-09,IT Services,Tamil Nadu,24.0,LinkedIn,Product Demo,5.0,17.0,13.0,25.0,61.0,7.0,3.0,4.0,No,55000.0,45000.0,Yes,3.0,6.0,No,1,Small,22.0,20.5,2291.6666666666665,0.8181818181818182
L000009,2024-07-15,Professional Services,Kerala,107.0,Partner,Webinar,0.0,0.0,56.0,18.0,,9.0,1.0,3.0,No,97000.0,,No,0.0,8.0,No,0,Medium,0.0,13.5,906.5420560747664,
L000010,2024-04-01,Financial Services,Delhi,10.0,Google Ads,Product Demo,0.0,3.0,50.0,8.0,23.0,8.0,,1.0,No,48000.0,35000.0,No,0.0,4.0,No,0,Small,3.0,8.125,4800.0,0.7291666666666666
L000011,2025-05-27,Telecommunications,Maharashtra,4.0,Website,Free Trial,0.0,0.0,43.0,19.0,43.0,8.0,1.0,5.0,No,48000.0,50000.0,No,0.0,4.0,Yes,0,Small,0.0,15.7,12000.0,1.0416666666666667
